Title,Release Year,Description,Director,Cast,Genres,Sub-genres,Maturity Rating,Type
Eastern Promises,2007,"A notorious gangster learns that a midwife has discovered incriminating evidence against his ""family"" in a dead woman's diary.",David Cronenberg,"Viggo Mortensen, Sinéad Cusack, Donald Sumpter, Naomi Watts, Mina E. Mina, Armin Mueller-Stahl, Vincent Cassel, Jerzy Skolimowski","Mystery Movies, Crime Movies, US Movies, Thriller Movies","Gritty, Violent, Dark",T18,Movie
Upstream,2024,"After losing his white collar job, a father falls into the harsh and competitive world of gig work when he starts working for a food delivery app.",Xu Zheng,"Xin Zhilei, Wang Xiao, Ding Jiali, Chen Halin, Jia Bing, Ding Yongdai, Feng Bing, Xu Zheng","Movies Based on Books, Chinese Movies, Mainland Chinese Movies, Drama Movies","Inspiring, Sentimental, Heartfelt",T13,Movie
The Killer,2023,"★★★★★ — The Guardian. Director David Fincher and star Michael Fassbender bring ""pure conviction and deadpan focus"" to this ""addictive"" assassin thriller.",David Fincher,"Michael Fassbender, Sala Baker, Tilda Swinton, Sophie Charlotte, Emiliano Pernía, Arliss Howard, Charles Parnell, Gabriel Polanco, Kerry OMalley","Thriller Movies, US Movies, Crime Movies, Drama Movies","Dark, Psychological, Suspenseful",T18,Movie
The Intruder,2019,"After moving into their Napa Valley dream house, a couple realizes that the strange seller isn’t quite as motivated to move on.",Deon Taylor,"Michael Ealy, Meagan Good, Joseph Sikora, Kurt Evans, Alvina August, Dennis Quaid, Erica Cerra, Lee Shorten","Thriller Movies, US Movies","Suspenseful, Psychological",T16,Movie
How To Make Millions Before Grandma Dies,2024,"A young man becomes a caretaker for his ailing grandmother in a film that won ""both the Southeast Asian box office and the TikTok generation"" (Deadline).",Pat Boonnitipat,"Sarinrat Thomas, Usha Seamkhum, Himawari Tajiri, Sanya Kunakorn, Tontawan Tantivejakul, Duangporn Oapirat, Putthipong Assaratanakul, Pongsatorn Jongwilas","Drama Movies, Thai","Intimate, Sentimental, Heartfelt",K,Movie
Cold Blood Legacy,2019,"When a retired assassin rescues a woman from a snowmobile accident, he discovers a secret about her that could force a return to his lethal ways.",Frédéric Petitjean,"Joe Anderson, Larysa Rusnak, Ihor Ciszkewycz, David Gyasi, François Guétary, Maxime Mege, Sarah Lind, Jean Reno, Samantha Bond, Jean-Luc Olivier","French, Crime Movies, Action & Adventure Movies","Suspenseful, Exciting, Adrenaline Rush",T16,Movie
Ad Vitam,2025,"When he and his pregnant wife are attacked in their home, a former elite agent becomes trapped in a deadly manhunt tied to his own painful past.",Rodolphe Lauga,"Johan Heldenbergh, Stéphane Caillard, Alexis Manenti, Nassim Lyes, Zita Hanrot, Guillaume Canet","Thriller Movies, French, Drama Movies, Crime Movies, Mystery Movies","Gritty, Exciting",T16,Movie
Searching,2018,"After his 16-year-old daughter goes missing, David traces her last digital steps using her laptop, social media and a detective to find her.",Aneesh Chaganty,"Dominic Hoffman, Sara Sohn, Kya Dawn Lau, Connor McRaith, Debra Messing, Alex Jayne Go, Joseph Lee, Michelle La, John Cho, Megan Liu","Thriller Movies, US Movies, Mystery Movies, Drama Movies",Suspenseful,T13,Movie
Dungeons & Dragons: Honor Among Thieves,2023,"Fresh out of prison, a charming bard and his barbarian partner in crime gather an offbeat band of adventurers on a quest to retrieve a magical relic.","John Francis Daley,","Michelle Rodriguez, Justice Smith, Regé-Jean Page, Daisy Head, Kyle Hixon, Chris Pine, Spencer Wilding, Sophia Lillis, Hugh Grant, Chloe Coleman","US Movies, Action & Adventure Movies, Comedy Movies","Imaginative, Exciting, Irreverent",T13,Movie
Where the Crawdads Sing,2022,"In a Southern town in the 1960s, life — and death — are determined by one's status and respectability. But in the swamp, it's survival of the fittest.",Olivia Newman,"Sterling Macer Jr., Garret Dillahunt, Taylor John Smith, Harris Dickinson, Daisy Edgar-Jones, Eric Ladin, Ahna OReilly, Jayson Warner Smith, David Strathairn, Michael Hyatt","Drama Movies, Courtroom Movies, Romantic Movies, Movies Based on Books, Mystery Movies","Romantic, Emotional",T16,Movie
Carry-On,2024,"A crowded airport. A dangerous suitcase. A mysterious criminal mastermind. On Christmas Eve, a security officer faces the ultimate travel nightmare.",Jaume Collet-Serra,"Logan Marshall-Green, Sinqua Walls, Jason Bateman, Danielle Deadwyler, Tonatiuh, Taron Egerton, Dean Norris, Josh Brener, Joe Williamson, Theo Rossi, Sofia Carson, Curtiss Cook, Gil Perez-Abraham","Thriller Movies, US Movies","Suspenseful, Exciting",T16,Movie
Kingdom: Return of The Great General,2024,The nation of Qin enlists a legendary general to protect it from invasion in this fusion of history and fantasy based on the manga by Yasuhisa Hara.,Shinsuke Sato,"Yuki Yamada, Takahiro Miura, Mitsuomi Takahashi, Ryo Yoshizawa, Koji Yamamoto, Koichi Sato, Takao Osawa, Kanna Hashimoto, Koji Kikkawa, Hiroshi Tamaki, Masami Nagasawa, Amane Okayama, Masaya Kato, Nana Seino, Kento Yamazaki, Yuko Araki, Masao Kusakari, Jun Kaname, Yusuke Hirayama, Masahiro Takashima, Shun Oguri","Military Movies, Period Pieces, Japanese, Action & Adventure Movies","Exciting, Rousing",T16,Movie
A Place Called Silence,2024,"When a bullied student's death triggers a string of murders, a seemingly peaceful all-girls school crumbles as more dark secrets come to light.",Sam Quah,"Francis Ng Chun-yu, Justin Huang, Cai Ming, Wang Shengdi, Chin Shih-chieh, Xu Jiao, Wang Chengsi, Ning Chang, Wang Chuanjun, Alan Aruna","Thriller Movies, Chinese Movies, Mainland Chinese Movies, Drama Movies","Dark, Suspenseful",T18,Movie
Atlas,2024,Jennifer Lopez stars as a brilliant but cynical analyst racing to stop an AI terrorist in this film with Simu Liu and Oscar nominee Sterling K. Brown.,Brad Peyton,"Sterling K. Brown, Lana Parrilla, Gregory James Cohan, Simu Liu, Jennifer Lopez, Abraham Popoola, Mark Strong","US Movies, Sci-Fi Movies, Action & Adventure Movies, Drama Movies","Emotional, Mind-Bending",T13,Movie
Hunger,2023,An unknown street-food cook takes up the opportunity to enter the fine-dining world — and discovers that nothing is as it seems.,Sitisiri Mongkolsiri,"Ratchawat Vichianrat, Sunya Thadathanawong, Nopachai Jayanama, Gunn Svasti, Chutimon Chuengcharoensukying, Pattarawit Junthai, Arttasit Pattanasatienkul, Aelm Thavornsiri, Prachan Vong-uthaiphan, Rangsit Budngam, Varit Leesavan","Drama Movies, Social Issue Dramas, Thai","Suspenseful, Inspiring",T18,Movie
